food_item,measure,calories,protein,fats,carbohydrates
diet bhel chaat,1 serving,169.25,9.9375,7.125,17.5625
rava idli,1 serving,79.58333333,2.694444444,2.111111111,11.58333333
pesarattu,1 serving,53.8,1.95,2.05,6.4
carrot chutney,1 serving,45.5,0.5,2.5,1.5
quinoa dosa,1 serving,54.7558,2.6156,0.70625,9.1718
ragi dosa,1 serving,135.2666667,4.066666667,2.233333333,24.46666667
bajra pesarattu,1 serving,65.0,2.21875,1.75,9.90625
tomato pachadi,1 serving,65.86375,7.49,2.215,2.345
vermicelli upma,1 serving,173.85,3.89,6.58,15.11
mixed veg raita,1 serving,56.5,6.25,1.75,5.125
methi thepla,1 serving,126.5,4.83,2.081,20.312
kellogs k cereal,1 serving,247.5,5.5,2.0,59.5
spinach sambar,1 serving,65.6,2.64,2.165,8.26
spinach sambar,1 serving,86.0,4.0,2.25,12.0
kala chana sabji,1 serving,177.875,15.25,4.75,17.8125
pizza sandwich,1 serving,342.85,13.195,9.82,50.975
black bean salad,1 serving,213.875,14.625,1.625,36.0
cookies and cream mousse cup,1 serving,240.0,0.0,20.0,31.0
aloo masala sandwich,1 serving,381.3,11.5,5.98,69.5
apple spinach smoothie,1 serving,221.75,9.625,1.25,41.375
bajra roti,1 serving,171.9,5.4,1.5,32.7
black bean spring mix salad,1 serving,191.125,15.25,2.0,26.625
bhindi fry,1 serving,86.625,1.5,4.0,9.6875
avocado egg sandwich,1 serving,339.2,12.8,19.5,27.9
oat khakra chaat,1 serving,290.125,12.3125,12.625,33.1875
quinoa rice flour dosa,1 serving,95.28571429,2.642857143,0.142857143,18.07142857
buttermilk,1 serving,9.375,0.625,0.4375,0.875
drumstick sambar,1 serving,113.375,4.0,4.25,13.3125
tandoori makhana,1 serving,90.0,2.0,3.5,13.0
blueberry banana smoothie,1 serving,287.25,8.125,1.75,61.625
cashew mushroom makhana curry,1 serving,188.975,8.705,12.0,11.79
achari baingan,1 serving,132.5,5.0,7.816666667,10.0
capsicum besan bhaji,1 serving,140.01,6.1,6.0,14.54
mushroom bell pepper fry,1 serving,94.875,6.875,5.25,3.75
vegan chickpea burger patty,1 serving,160.875,6.1875,4.6875,10.0
spinach carrot paratha,1 serving,126.55,4.0125,2.75,19.1125
masoor dal tadka,1 serving,155.4,8.68,4.155,18.895
aloo bhindi,1 serving,288.0,4.5,12.0,37.5
homemade poha,1 serving,209.15,4.15,15.65,4.7
masoor dal palak khichdi,1 serving,187.155,6.085,2.93,32.645
soya chunks pulao,1 serving,223.15,20.75,5.0,23.85
apple spinach flaxseed smoothie,1 serving,192.5,1.125,2.75,37.375
restaurant dal tadka,1 serving,259.0,12.0,10.7,28.9
restaurant paneer butter masala,1 serving,660.0,29.3,51.1,20.4
restaurant veg biryani,1 serving,448.0,8.9,18.2,60.8
restaurant sweet pongal,1 serving,272.0,3.8,6.9,48.7
restaurant veg raita,1 serving,30.0,2.3,0.1,5.0
rice flour and sooji dosa,1 serving,101.2875,3.03125,2.085,17.34375
aloo capsicum sabji,1 serving,119.75,7.375,2.0,18.125
rice kheer,1 serving,305.5,4.875,7.875,80.75
